Timestamp,Battery Level,Network Status,Power State,Bluetooth Connected,Location Enabled,Brightness,Total Usage Time
23/09/2024 11:41:07,81,wifi,unplugged,No,Yes,24.71,3m 2s
23/09/2024 12:11:07,78,wifi,unplugged,No,Yes,7.84,2m 54s
23/09/2024 12:28:15,76,wifi,unplugged,No,Yes,20.00,11m 40s
23/09/2024 12:41:07,75,wifi,unplugged,No,Yes,16.08,6m 25s
23/09/2024 12:53:41,74,wifi,unplugged,No,Yes,28.63,6m 22s
23/09/2024 13:11:03,72,wifi,unplugged,No,Yes,10.59,18m 36s
23/09/2024 13:11:07,72,wifi,unplugged,No,Yes,10.59,18m 36s
23/09/2024 13:41:10,66,wifi,unplugged,No,Yes,15.29,16m 46s
23/09/2024 14:04:02,60,cellular,unplugged,No,Yes,8.63,5m 33s
23/09/2024 14:04:12,60,cellular,unplugged,No,Yes,8.63,5m 39s
23/09/2024 14:11:10,59,cellular,unplugged,Yes,Yes,2.75,7m 32s
23/09/2024 14:41:10,55,cellular,unplugged,Yes,Yes,1.57,4m 56s
23/09/2024 15:11:11,51,cellular,unplugged,Yes,Yes,1.57,0m 0s
23/09/2024 15:41:11,47,cellular,unplugged,Yes,Yes,1.57,0m 0s
23/09/2024 16:11:11,45,wifi,unplugged,Yes,Yes,1.57,0m 0s
23/09/2024 16:41:15,41,cellular,unplugged,Yes,Yes,26.27,2m 49s
23/09/2024 17:11:15,38,cellular,unplugged,No,Yes,26.67,1m 46s
23/09/2024 17:41:16,37,wifi,unplugged,No,Yes,3.92,3m 25s
23/09/2024 18:11:16,34,wifi,unplugged,No,Yes,26.27,4m 39s
23/09/2024 18:41:16,30,wifi,unplugged,No,Yes,3.92,6m 32s
23/09/2024 19:14:13,26,wifi,unplugged,No,Yes,26.27,3m 30s
23/09/2024 19:44:14,24,wifi,unplugged,No,Yes,17.25,1m 14s
23/09/2024 20:14:14,20,wifi,unplugged,No,Yes,13.33,6m 15s
23/09/2024 20:44:14,16,cellular,unplugged,No,Yes,24.71,3m 23s
23/09/2024 21:14:20,13,wifi,unplugged,No,Yes,26.27,2m 50s
23/09/2024 21:44:20,14,wifi,unplugged,No,Yes,3.92,1m 50s
23/09/2024 22:14:20,11,wifi,unplugged,No,Yes,26.27,6m 57s
23/09/2024 22:32:22,10,wifi,unplugged,No,Yes,23.14,0m 50s
23/09/2024 22:34:48,9,wifi,charging,No,Yes,23.14,3m 7s
23/09/2024 22:43:04,18,wifi,charging,No,No,23.14,3m 35s
23/09/2024 22:44:20,19,wifi,charging,No,Yes,23.14,3m 35s
23/09/2024 23:14:21,43,wifi,charging,No,Yes,27.45,0m 59s
23/09/2024 23:24:15,50,wifi,charging,No,Yes,27.84,0m 47s
23/09/2024 23:44:21,55,wifi,charging,No,Yes,27.84,13m 47s
24/09/2024 00:14:21,62,wifi,unplugged,Yes,Yes,3.92,17m 49s
24/09/2024 00:44:21,56,wifi,unplugged,Yes,Yes,3.92,21m 54s
24/09/2024 01:14:22,52,wifi,unplugged,No,Yes,3.92,21m 50s
24/09/2024 01:44:22,50,wifi,unplugged,Yes,Yes,3.92,1m 20s
24/09/2024 02:14:22,48,wifi,unplugged,Yes,Yes,3.92,0m 0s
24/09/2024 02:44:48,48,wifi,unplugged,Yes,Yes,3.92,0m 0s
24/09/2024 03:14:56,48,wifi,unplugged,Yes,Yes,3.92,0m 0s
24/09/2024 03:45:11,47,wifi,unplugged,Yes,Yes,3.92,0m 0s
24/09/2024 04:15:19,47,wifi,unplugged,Yes,Yes,3.92,0m 0s
24/09/2024 04:45:25,47,wifi,unplugged,Yes,Yes,3.92,0m 0s
